STATIONID,Latitude,Longitude,LAKEID,County,Lake,Station,Study,water type
Bay-LannieRo-1,30.1415,-85.5844,Bay-LannieRo,Bay,Lannie Rowe,1,LW,River/Stream
Bay-Lullwater-1,30.2222,-85.8798,Bay-Lullwater,Bay,Lullwater,1,LW,Lake
Bay-Lullwater-2,30.2208,-85.8825,Bay-Lullwater,Bay,Lullwater,2,LW,Lake
Bay-Lullwater-3,30.2229,-85.8834,Bay-Lullwater,Bay,Lullwater,3,LW,Lake
Bay-Marin-1,30.2105,-85.6568,Bay-Marin,Bay,Marin,1,LW,Lake
Bay-Marin-2,30.2108,-85.655,Bay-Marin,Bay,Marin,2,LW,Lake
Bay-Marin-3,30.2092,-85.655,Bay-Marin,Bay,Marin,3,LW,Lake
Bay-Martin-1,30.1404,-85.6077,Bay-Martin,Bay,Martin-1,1,LW,River/Stream
Bay-Massalina-Bayou-1,30.1517,-85.6583,Bay-Massalina-Bayou,Bay,Massalina Bayou-1,1,LW,River/Stream
Bay-Mil-Bay-1U,30.2359,-85.5985,Bay-Mil-Bay-1U,Bay,Mill Bayou Upper,1,LW,River/Stream
Bay-Mill-Bayou-1,30.251,-85.6096,Bay-Mill-Bayou,Bay,Mill Bayou-1,1,LW,River/Stream
Bay-No-thBay-1,30.2633,-85.6167,Bay-No-thBay,Bay,North Bay-1,1,LW,Estuary
Bay-No-thBay-2,30.2617,-85.6517,Bay-No-thBay,Bay,North Bay-2,1,LW,Estuary
Bay-No-thBay-3,30.2533,-85.685,Bay-No-thBay,Bay,North Bay-3,1,LW,Estuary
Bay-No-thBay-4,30.2267,-85.71,Bay-No-thBay,Bay,North Bay-4,1,LW,Estuary
Bay-Parker-Bayou-1,30.1255,-85.6008,Bay-Parker-Bayou,Bay,Parker Bayou-1,1,LW,Estuary
Bay-Pitts-Bayou-1,30.1213,-85.5967,Bay-Pitts-Bayou,Bay,Pitts Bayou-1,1,LW,River/Stream
Bay-Posten-Bayou-1,30.1928,-85.7167,Bay-Posten-Bayou,Bay,Posten Bayou-1,1,LW,Estuary
Bay-Powell-1,30.2728,-85.9679,Bay-Powell,Bay,Powell,1,LW,Dune Lake
Bay-Powell-2,30.2748,-85.9841,Bay-Powell,Bay,Powell,2,LW,Dune Lake
Bay-Powell-3,30.2816,-85.9947,Bay-Powell,Bay,Powell,3,LW,Dune Lake
Bay-Powell-4,30.2725,-85.986,Bay-Powell,Bay,Powell,4,LW,Dune Lake
Bay-Powell-5,30.2685,-85.9753,Bay-Powell,Bay,Powell,5,LW,Dune Lake
Bay-Powell-6,30.2754,-85.9778,Bay-Powell,Bay,Powell,6,LW,Dune Lake
Bay-Po-kEast-1,30.2667,-85.9556,Bay-Po-kEast,Bay,Powell Creek East-1,1,LW,River/Stream
Bay-Po-kEast-2,30.2618,-85.9502,Bay-Po-kEast,Bay,Powell Creek East-2,1,LW,River/Stream
Bay-Po-kEast-3,30.2618,-85.9478,Bay-Po-kEast,Bay,Powell Creek East-3,1,LW,River/Stream
Bay-PowellSo-1,30.2717,-85.9891,Bay-PowellSo,Bay,Powell South,1,LW,Dune Lake
Bay-PowellSo-2,30.2702,-85.9869,Bay-PowellSo,Bay,Powell South,2,LW,Dune Lake
Bay-PowellSo-3,30.2689,-85.9849,Bay-PowellSo,Bay,Powell South,3,LW,Dune Lake
Bay-Pretty-Bayou-1,30.2017,-85.7059,Bay-Pretty-Bayou,Bay,Pretty Bayou-1,1,LW,River/Stream
Bay-Robinson-Bayou-1,30.211,-85.6992,Bay-Robinson-Bayou,Bay,Robinson Bayou-1,1,LW,River/Stream
